year,geo,sample,k,role,n_k,base_sum,ratio,lo,hi,se_log
2001,cook_ex_chicago,all_observed,59,placebo,2,90,0.13333333333333333,0.03283872195796413,0.541366311409274,0.7149203529842405
2001,cook_ex_chicago,all_observed,69,placebo,14,56,1.5,0.835105754157176,2.694269544664789,0.2988071523335984
2001,cook_ex_chicago,single_all,49,test,18,117,0.9230769230769231,0.5619822588077116,1.5161884428965673,0.25318484177091666
2001,cook_ex_chicago,single_all,29,placebo,32,388,0.49484536082474223,0.34507372785286294,0.7096220644017879,0.18392204758437436
2001,cook_ex_chicago,single_all,39,placebo,12,206,0.3495145631067961,0.1952919285978084,0.6255272847211025,0.29696414306338764
2001,cook_ex_chicago,single_all,59,placebo,2,71,0.16901408450704225,0.041457474571566885,0.6890376477814957,0.7169968668287564
2001,cook_ex_chicago,single_all,69,placebo,9,44,1.2272727272727273,0.5991456293237094,2.5139102638661854,0.36583928689847384
2001,cook_ex_chicago,single_observed,49,test,18,117,0.9230769230769231,0.5619822588077116,1.5161884428965673,0.25318484177091666
2001,cook_ex_chicago,single_observed,29,placebo,32,388,0.49484536082474223,0.34507372785286294,0.7096220644017879,0.18392204758437436
2001,cook_ex_chicago,single_observed,39,placebo,12,204,0.35294117647058826,0.19717558947518957,0.6317591055768956,0.2970442628930023
2001,cook_ex_chicago,single_observed,59,placebo,2,71,0.16901408450704225,0.041457474571566885,0.6890376477814957,0.7169968668287564
2001,cook_ex_chicago,single_observed,69,placebo,9,44,1.2272727272727273,0.5991456293237094,2.5139102638661854,0.36583928689847384
2001,illinois_ex_cook,all_observed,49,test,71,498,0.8554216867469879,0.6671107397133613,1.0968887451451805,0.12685637221191365
2001,illinois_ex_cook,all_observed,29,placebo,167,1731,0.5788561525129983,0.49385248175524926,0.6784909617366521,0.08102915958534178
2001,illinois_ex_cook,all_observed,39,placebo,102,835,0.732934131736527,0.5967361409291044,0.9002177086643025,0.10488816119585
2001,illinois_ex_cook,all_observed,59,placebo,18,273,0.3956043956043956,0.2455379166734117,0.6373876586632544,0.24334863718245725
2001,illinois_ex_cook,all_observed,69,placebo,20,158,0.759493670886076,0.47697800820582714,1.2093443013982548,0.2373375527051095
2001,illinois_ex_cook,single_all,49,test,55,367,0.899182561307902,0.6772817374927085,1.1937857376066388,0.14459119552083782
2001,illinois_ex_cook,single_all,29,placebo,124,1252,0.5942492012779553,0.4941183227352386,0.7146711566263961,0.09414477241865686
2001,illinois_ex_cook,single_all,39,placebo,75,613,0.734094616639478,0.5775938379163651,0.9329997496564246,0.1223301054673104
2001,illinois_ex_cook,single_all,59,placebo,15,205,0.4390243902439025,0.25990007476202914,0.7416019999436709,0.2674784392192284
2001,illinois_ex_cook,single_all,69,placebo,15,116,0.7758620689655172,0.45313012846225265,1.3284527164465487,0.27438541565075775
2001,illinois_ex_cook,single_observed,49,test,55,367,0.899182561307902,0.6772817374927085,1.1937857376066388,0.14459119552083782
2001,illinois_ex_cook,single_observed,29,placebo,124,1251,0.5947242206235012,0.4945100148854819,0.7152471900455639,0.09414816323552459
