year,firm_id,company,naics2,chicago_sites,chicago_emp,chicago_emp_observed,chicago_sites_emp_unknown,cook_ex_sites,cook_ex_emp,msa_ex_cook_sites,msa_ex_cook_emp,il_ex_msa_sites,il_ex_msa_emp,il_sites,il_emp,n_status_codes,sites_in_and_out_chicago,pct_chicago_emp_observed
1997,820125474,CHICAGO MUSICAL COLLEGE,61,1,1000.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1000.0,1,False,0.0
1997,409131133,POPEYE'S FAMOUS FIRED CHICKEN,72,57,989.0,0.0,0,26,468.0,11,177.0,10,186.0,104,1820.0,1,True,0.0
1997,498878651,RODMAN & RENSHAW INC,54,4,980.0,0.0,0,1,20.0,0,0.0,0,0.0,5,1000.0,3,True,0.0
1997,007502859,ARAMARK LEISURE SVC,71,3,965.0,0.0,0,24,933.0,33,874.0,23,1252.0,83,4024.0,1,True,0.0
1997,007518855,HUMANA HEALTH CARE PLAN,71,15,964.0,0.0,0,11,374.0,3,203.0,1,6.0,30,1547.0,1,True,0.0
1997,441324498,OGDEN ENTERTAINMENT SVC,45,2,960.0,0.0,0,1,5.0,0,0.0,1,100.0,4,1065.0,1,True,0.0
1997,903683183,LSG SKY CHEFS INC,72,2,960.0,0.0,0,0,0.0,0,0.0,0,0.0,2,960.0,1,False,0.0
1997,443639919,HOME OWNERS LIFE INSURANCE CO,52,12,952.0,0.0,5,1,18.0,1,3.0,3,284.0,17,1257.0,3,True,0.0
1997,901707059,MESIROW FINANCIAL HOLDINGS INC,52,2,950.0,0.0,0,0,0.0,3,111.0,0,0.0,5,1061.0,2,True,0.0
1997,007511769,BUTTERNUT BAKERY,31,18,950.0,0.0,0,23,1440.0,13,136.0,70,850.0,124,3376.0,1,True,0.0
1997,004674990,CHICAGO MERCANTILE EXCHANGE,52,1,945.0,0.0,0,0,0.0,0,0.0,0,0.0,1,945.0,1,False,0.0
1997,441361573,METRA METROPOLITAN RAIL,48,2,920.0,0.0,0,11,14.0,15,104.0,0,0.0,28,1038.0,2,True,0.0
1997,402971154,VISKASE CORP,31,2,920.0,0.0,0,1,250.0,1,15.0,0,0.0,4,1185.0,3,True,0.0
1997,441314283,SHERATON,72,5,917.0,0.0,0,6,657.0,1,3.0,0,0.0,12,1577.0,1,True,0.0
1997,007524002,MCI TELECOMMUNICATION CORP,51,5,916.0,0.0,0,3,88.0,0,0.0,9,100.0,17,1104.0,1,True,0.0
1997,007501547,TRU SERV CORP,33,37,914.0,0.0,0,39,427.0,52,1243.0,148,1522.0,276,4106.0,2,True,0.0
1997,150550465,INSURE ONE INSURANCE,52,21,908.0,0.0,0,13,33.0,6,14.0,6,15.0,46,970.0,3,True,0.0
1997,007538598,USX CORP,33,12,908.0,0.0,0,78,514.0,80,531.0,127,1859.0,297,3812.0,1,True,0.0
1997,806920021,WILLIAM M MERCER INC,52,7,904.0,0.0,0,0,0.0,2,664.0,0,0.0,9,1568.0,1,True,0.0
