unit,sample,data_year,threshold,control,chicago_spike,control_spike,gap
firm,all,2023,40,cook_ex_chicago,7.955555555555556,12.27777777777778,-4.322222222222225
firm,all,2024,40,cook_ex_chicago,6.7207207207207205,8.424242424242424,-1.7035217035217034
firm,all,2025,40,cook_ex_chicago,6.017699115044247,9.136363636363637,-3.1186645213193893
firm,all,2018,50,cook_ex_chicago,10.448598130841122,16.229885057471265,-5.781286926630143
firm,all,2019,50,cook_ex_chicago,10.38095238095238,16.843373493975903,-6.462421113023524
firm,all,2020,50,cook_ex_chicago,10.6,15.55813953488372,-4.9581395348837205
firm,all,2021,50,cook_ex_chicago,10.646464646464649,14.9438202247191,-4.297355578254452
firm,all,2022,50,cook_ex_chicago,10.34,15.418604651162791,-5.078604651162792
firm,all,2023,50,cook_ex_chicago,7.746031746031746,11.056603773584904,-3.3105720275531576
firm,all,2024,50,cook_ex_chicago,6.802816901408451,9.482758620689657,-2.6799417192812056
firm,all,2025,50,cook_ex_chicago,6.595744680851064,9.495652173913044,-2.8999074930619795
firm,all,2018,60,cook_ex_chicago,29.625,18.25,11.375
firm,all,2019,60,cook_ex_chicago,26.555555555555557,17.6875,8.868055555555557
firm,all,2020,60,cook_ex_chicago,24.94736842105263,15.705882352941176,9.241486068111454
firm,all,2021,60,cook_ex_chicago,20.636363636363637,14.571428571428571,6.0649350649350655
firm,all,2022,60,cook_ex_chicago,21.454545454545453,12.717948717948715,8.736596736596738
firm,all,2023,60,cook_ex_chicago,10.651162790697674,12.36842105263158,-1.7172582619339067
firm,all,2024,60,cook_ex_chicago,7.933333333333334,10.391304347826088,-2.4579710144927542
firm,all,2025,60,cook_ex_chicago,8.107142857142858,8.101694915254237,0.005447941888620633
firm,all,2018,40,illinois_ex_cook,24.0,23.405405405405407,0.594594594594593
firm,all,2019,40,illinois_ex_cook,22.514285714285716,23.486238532110093,-0.971952817824377
firm,all,2020,40,illinois_ex_cook,24.5625,22.93577981651376,1.6267201834862384
firm,all,2021,40,illinois_ex_cook,19.55,22.7027027027027,-3.152702702702701
firm,all,2022,40,illinois_ex_cook,16.844444444444445,22.87272727272727,-6.028282828282826
firm,all,2023,40,illinois_ex_cook,7.955555555555556,14.306748466257668,-6.351192910702112
firm,all,2024,40,illinois_ex_cook,6.7207207207207205,7.356687898089172,-0.6359671773684514
firm,all,2025,40,illinois_ex_cook,6.017699115044247,8.118081180811808,-2.100382065767561
firm,all,2018,50,illinois_ex_cook,10.448598130841122,15.725118483412322,-5.2765203525712
firm,all,2019,50,illinois_ex_cook,10.38095238095238,15.429906542056075,-5.048954161103696
firm,all,2020,50,illinois_ex_cook,10.6,14.77570093457944,-4.1757009345794405
firm,all,2021,50,illinois_ex_cook,10.646464646464649,13.61904761904762,-2.9725829725829715
firm,all,2022,50,illinois_ex_cook,10.34,13.157446808510638,-2.8174468085106383
firm,all,2023,50,illinois_ex_cook,7.746031746031746,11.61904761904762,-3.8730158730158744
firm,all,2024,50,illinois_ex_cook,6.802816901408451,9.95890410958904,-3.1560872081805895
firm,all,2025,50,illinois_ex_cook,6.595744680851064,9.09967845659164,-2.5039337757405757
firm,all,2018,60,illinois_ex_cook,29.625,18.423529411764704,11.201470588235296
firm,all,2019,60,illinois_ex_cook,26.555555555555557,17.431818181818183,9.123737373737374
firm,all,2020,60,illinois_ex_cook,24.94736842105263,15.787234042553193,9.160134378499437
firm,all,2021,60,illinois_ex_cook,20.636363636363637,15.872340425531917,4.76402321083172
firm,all,2022,60,illinois_ex_cook,21.454545454545453,15.913978494623656,5.540566959921797
firm,all,2023,60,illinois_ex_cook,10.651162790697674,11.428571428571429,-0.777408637873755
firm,all,2024,60,illinois_ex_cook,7.933333333333334,10.1203007518797,-2.1869674185463666
firm,all,2025,60,illinois_ex_cook,8.107142857142858,9.654676258992806,-1.5475334018499485
firm,rows,2018,40,cook_ex_chicago,22.322580645161292,23.88888888888889,-1.5663082437275975
firm,rows,2019,40,cook_ex_chicago,24.266666666666666,21.26315789473684,3.003508771929827
firm,rows,2020,40,cook_ex_chicago,24.551724137931036,23.941176470588236,0.6105476673428001
firm,rows,2021,40,cook_ex_chicago,21.9375,23.647058823529413,-1.709558823529413
firm,rows,2022,40,cook_ex_chicago,23.79310344827586,25.483870967741936,-1.6907675194660747
firm,rows,2023,40,cook_ex_chicago,22.333333333333332,28.0,-5.666666666666668
firm,rows,2024,40,cook_ex_chicago,23.357142857142858,27.103448275862068,-3.74630541871921
firm,rows,2025,40,cook_ex_chicago,22.06896551724138,29.076923076923077,-7.007957559681696
firm,rows,2018,50,cook_ex_chicago,10.18,15.228915662650602,-5.048915662650602
firm,rows,2019,50,cook_ex_chicago,9.88118811881188,15.873417721518988,-5.992229602707109
firm,rows,2020,50,cook_ex_chicago,9.816326530612244,15.86842105263158,-6.0520945220193365
firm,rows,2021,50,cook_ex_chicago,10.193548387096774,15.03896103896104,-4.845412651864265
firm,rows,2022,50,cook_ex_chicago,10.32967032967033,14.658227848101266,-4.3285575184309355
firm,rows,2023,50,cook_ex_chicago,9.978260869565217,14.864864864864863,-4.886603995299646
firm,rows,2024,50,cook_ex_chicago,10.505747126436782,14.83783783783784,-4.332090711401058
firm,rows,2025,50,cook_ex_chicago,10.32183908045977,15.714285714285714,-5.392446633825944
firm,rows,2018,60,cook_ex_chicago,40.54545454545455,33.625,6.920454545454547
firm,rows,2019,60,cook_ex_chicago,29.466666666666665,37.285714285714285,-7.81904761904762
firm,rows,2020,60,cook_ex_chicago,34.15384615384615,40.833333333333336,-6.679487179487182
firm,rows,2021,60,cook_ex_chicago,37.166666666666664,52.666666666666664,-15.5
firm,rows,2022,60,cook_ex_chicago,32.714285714285715,56.0,-23.285714285714285
firm,rows,2023,60,cook_ex_chicago,27.25,35.833333333333336,-8.583333333333336
